code,report_group_id
102001,1
101001,2
101002,2
100600,2
100400,2
205002,3
201004,4
210001,5
210002,5
210003,5
208000,5
205001,5
205002,5
204001,5
201004,5
204002,5
201001,5
201002,5
201003,5
201005,5
200501,5
200502,5
200503,5
200504,5
200301,5
200302,5
200251,5
200252,5
200253,5
200201,5
200202,5
200203,5
200101,5
200102,5
200103,5
200051,5
200052,5
200053,5
200054,5
200055,5
200204,5
200056,5
700500,6
105001,7
105002,8
108001,9
701000,10
701001,11
120002,12
130001,13
700050,14
800302,15
800303,15
800304,15
805000,16
